id,email,password,name,profile_picture,role
1,daniel@opinew.com,Opinu@m4d4f4k4!,Daniel Tsvetkov,1_dani.jpg,ADMIN
2,tomasz@opinew.com,Opinu@m4d4f4k4!,Tomasz Sadowski,2_tom.jpg,ADMIN
3,rose.castro@example.com,JEX9T,Rose Castro,3_rose_castro.jpg,REVIEWER
4,valtteri.wuollet@example.com,K4YNZ,Valtteri Wuollet,4_valtteri_wuollet.jpg,REVIEWER
5,lena.sanders@example.com,BANLE,Lena Sanders,5_lena_sanders.jpg,REVIEWER
6,angeles.mendez@example.com,ELP2Z,Angeles Mendez,6_angeles_mendez.jpg,REVIEWER
7,martin.lefevre@example.com,46C9J,Martin Lefevre,7_martin_lefevre.jpg,REVIEWER
8,cristian.roman@example.com,G0UT5,Cristian Roman,8_cristian_roman.jpg,REVIEWER
9,tracey.meyer@example.com,MTIBC,Tracey Meyer,9_tracey_meyer.jpg,REVIEWER
10,victoire.riviere@example.com,A6P1F,Victoire Riviere,10_victoire_riviere.jpg,REVIEWER
11,kiara.guillot@example.com,B8U68,Kiara Guillot,11_kiara_guillot.jpg,REVIEWER
12,venla.ylitalo@example.com,SIVQJ,Venla Ylitalo,12_venla_ylitalo.jpg,REVIEWER
13,alvin.anderson@example.com,1WGT3,Alvin Anderson,13_alvin_anderson.jpg,REVIEWER
14,annette.harper@example.com,JJ057,Annette Harper,14_annette_harper.jpg,REVIEWER
15,stephanie.morris@example.com,X7N1P,Stephanie Morris,15_stephanie_morris.jpg,REVIEWER
16,alex.terry@example.com,2HNTF,Alex Terry,16_alex_terry.jpg,REVIEWER
17,denise.sims@example.com,92CHR,Denise Sims,17_denise_sims.jpg,REVIEWER
18,veera.ketola@example.com,83IOU,Veera Ketola,18_veera_ketola.jpg,REVIEWER
19,crystal.dunn@example.com,RM43T,Crystal Dunn,19_crystal_dunn.jpg,REVIEWER
